episode,total_reward,steps,epsilon,table_size,delivered_units,spoiled_units,deliveries_count,distance
302,-1530.6999999999996,200,0.74245,1221,10.0,316.0,2,171
303,-1598.8520000000008,200,0.7416,1222,14.0,341.0,3,174
304,-999.1660000000003,200,0.74075,1223,38.0,274.0,10,181
305,-1075.2079999999999,200,0.7399,1223,16.0,239.0,3,175
306,-1565.2239999999995,200,0.73905,1223,2.0,307.0,1,170
307,-628.6300000000001,200,0.7382,1228,53.0,238.0,11,173
308,-1308.182,200,0.73735,1228,24.0,306.0,5,175
309,-1453.89,200,0.7364999999999999,1228,0.0,281.0,0,176
310,-1167.4699999999998,200,0.73565,1228,40.0,313.0,8,180
311,-1537.74,200,0.7348,1228,4.0,306.0,1,170
312,-1175.06,200,0.73395,1235,26.0,286.0,5,176
313,-1177.7479999999996,200,0.7331000000000001,1235,24.0,283.0,6,165
314,-1123.8040000000005,200,0.7322500000000001,1235,25.0,273.0,5,183
315,-1531.357999999999,200,0.7314,1235,26.0,355.0,5,163
316,-1472.6679999999992,200,0.73055,1236,12.0,309.0,2,179
317,-1493.6840000000009,200,0.7297,1240,18.0,330.0,6,171
318,-1593.88,200,0.72885,1240,7.0,323.0,1,169
319,-1772.3340000000007,200,0.728,1240,2.0,348.0,1,168
320,-1370.9419999999998,200,0.72715,1242,0.0,263.0,0,167
321,-1414.5919999999999,200,0.7263,1247,21.0,318.0,3,173
322,-1499.7559999999996,200,0.7254499999999999,1248,22.0,340.0,6,172
323,-879.647999999999,200,0.7246,1249,24.0,219.0,7,165
324,-1267.2920000000004,200,0.72375,1253,15.0,275.0,3,167
325,-851.4459999999995,200,0.7229,1253,28.0,222.0,7,170
326,-1349.8079999999998,200,0.72205,1255,21.0,305.0,4,176
327,-1445.6840000000007,200,0.7212000000000001,1256,18.0,318.0,3,173
328,-1472.028,200,0.72035,1256,2.0,288.0,1,156
329,-1602.9840000000006,200,0.7195,1256,9.0,329.0,2,177
330,-942.59,200,0.71865,1256,36.0,260.0,7,174
331,-1335.687999999999,200,0.7178,1256,13.0,284.0,3,171
332,-1540.126,200,0.71695,1256,14.0,330.0,3,177
333,-1635.0980000000004,200,0.7161,1256,18.0,355.0,3,163
334,-1447.648,200,0.7152499999999999,1257,19.0,321.0,4,170
335,-1794.8459999999995,200,0.7143999999999999,1258,16.0,383.0,3,172
336,-1381.0000000000002,200,0.7135499999999999,1258,2.0,270.0,1,179
337,-1146.2939999999996,200,0.7127,1258,2.0,223.0,1,166
338,-1238.6060000000002,200,0.71185,1259,18.0,277.0,5,170
339,-1024.19,200,0.711,1261,22.0,244.0,4,167
340,-1028.1859999999997,200,0.7101500000000001,1261,35.0,275.0,7,172
341,-1178.0040000000004,200,0.7093,1262,0.0,226.0,0,164
342,-1213.2619999999997,200,0.70845,1262,28.0,297.0,6,176
343,-1543.374,200,0.7076,1265,0.0,298.0,0,176
344,-1400.0099999999993,200,0.70675,1265,13.0,299.0,3,183
345,-1814.1420000000012,200,0.7059,1265,0.0,352.0,0,179
346,-1300.5239999999992,200,0.70505,1265,0.0,249.0,0,172
347,-1166.038,200,0.7042,1269,27.0,283.0,7,170
348,-1117.5639999999999,200,0.70335,1270,22.0,261.0,5,165
349,-1487.4960000000005,200,0.7025,1270,28.0,351.0,6,169
350,-1475.432000000001,200,0.7016500000000001,1270,19.0,325.0,3,180
351,-1209.4740000000002,200,0.7008000000000001,1271,26.0,288.0,5,175
352,-1262.732,200,0.6999500000000001,1272,10.0,265.0,2,175
353,-993.6300000000003,200,0.6991,1273,44.0,290.0,10,175
354,-1396.946,200,0.69825,1273,10.0,292.0,4,159
355,-1734.9619999999995,200,0.6974,1273,0.0,336.0,0,169
356,-1435.6999999999994,200,0.69655,1275,26.0,336.0,5,176
357,-1192.6160000000002,200,0.6957,1276,17.0,264.0,4,163
358,-1332.9939999999995,200,0.69485,1276,20.0,299.0,4,167
359,-1065.66,200,0.694,1276,29.0,269.0,6,165
360,-1495.6200000000003,200,0.69315,1277,0.0,288.0,0,166
361,-1414.2040000000002,200,0.6923,1277,29.0,336.0,5,176
362,-1346.6559999999997,200,0.69145,1277,20.0,304.0,5,170
363,-1266.4000000000003,200,0.6906,1278,5.0,254.0,2,175
364,-925.3239999999995,200,0.6897500000000001,1279,28.0,242.0,8,172
365,-1043.996,200,0.6889000000000001,1279,27.0,258.0,6,160
366,-1407.6420000000005,200,0.68805,1279,10.0,293.0,2,171
